3.2MM M3:4
BZ1:1
C1:1
C12:1
C13:1
C14:1
C15:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C4:1
C5:1
C7:1
C8:1
CN1:1
CURRENTM1:1
D1:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
FB1:1
IMU-U2:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
JP10:1
JP2:1
JP3:1
JP5:1
JP6:1
JP8:1
L2:1
Q2:1
R1:1
R13:1
R14:1
R15:1
R17:1
R18:1
R19:1
R2:1
R20:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
SW2:1
U1:1
U2:1
U3:1
U4:1
U5:1
U7:1
USB5V1:1
USB5V2:1
Y1:1
